42895,2017-042BY,Dove 2k-10,135,4
42893,2017-042BW,Dove 2k-12,135,4
42890,2017-042BT,Dove 2k-15,135,4
42887,2017-042BQ,Dove 2k-18,135,4
42886,2017-042BP,Dove 2k-19,135,4
42871,2017-042AY,Dove  2k-29,135,4
42872,2017-042AZ,Dove 2k-30,135,4
42870,2017-042AX,Dove 2k-32,135,4
42877,2017-042BE,Dove 2k-35,135,4
42866,2017-042AT,Dove 2k-39,135,4
42865,2017-042AS,Dove 2k-40,135,4
42862,2017-042AP,Dove 2k-7,135,4
41618,2016-040V,Dove 2p-3,135,1
41613,2016-040Q,Dove 2p-8,135,1
41610,2016-040M,Dove 2p-9,135,1
43905,2018-111AF,Dove 3k-10,135,10
43893,2018-111T,Dove 3k-4,135,10
43899,2018-111Z,Dove 3k-5,135,10
43902,2018-111AC,Dove 3k-7,135,10
43906,2018-111AG,Dove 3k-9,135,10
42997,2017-068L,Dove 3m-4,135,5
41975,2017-008AD,Dove 3p-11,135,1
41972,2017-008AA,Dove  3p-12,135,1
41966,2017-008U,Dove 3p-2,135,1
43120,2018-004K,Dove 3p'-2,135,1
42018,2017-008BY,Dove  3p-23,135,1
41956,2017-008J,Dove  3p-24,135,1
41968,2017-008W,Dove 3p-37,135,1
43119,2018-004J,Dove 3p'-3,135,1
42023,2017-008CD,Dove 3p-32,135,1
41990,2017-008AU,Dove 3p-33,135,1
41988,2017-008AS,Dove 3p-34,135,1
41965,2017-008T,Dove 3p-4,135,1
43122,2018-004M,Dove 3p'-4,135,1
42031,2017-008CM,Dove 3p-46,135,1
42001,2017-008BF,Dove 3p-49,135,1
42029,2017-008CK,Dove 3p-50,135,1
42014,2017-008BU,Dove 3p-54,135,1
42041,2017-008CX,Dove 3p-55,135,1
41978,2017-008AG,Dove 3p-57,135,1
41977,2017-008AF,Dove 3p-58,135,1
42009,2017-008BP,Dove 3p-61,135,1
42034,2017-008CQ,Dove 3p-64,135,1
42028,2017-008CJ,Dove 3p-65,135,1
42027,2017-008CH,Dove 3p-66,135,1
42048,2017-008DE,Dove 3p-74,135,1
42019,2017-008BZ,Dove 3p-76,135,1
42026,2017-008CG,Dove 3p-80,135,1
43747,2018-096AE,Dove 3r-1,135,1
43725,2018-096G,Dove 3r-11,135,1
43724,2018-096F,Dove 3r-12,135,1
43733,2018-096Q,Dove 3r-4,135,1
43741,2018-096Y,Dove 3r-7,135,1
43742,2018-096Z,Dove 3r-7,135,1
43723,2018-096E,Dove 3r-9,135,1
43769,2018-099M,Dove 3s-1,135,5
44096,2019-018U,Dove 4a-11,135,1
44088,2019-018L,Dove 4a-17,135,1
44090,2019-018N,Dove 4a-19,135,1
44080,2019-018C,Dove 4a-2,135,1
44095,2019-018T,Dove 4a-5,135,1
44094,2019-018S,Dove 4a-6,135,1
44098,2019-018W,Dove 4a-9,135,1
46813,2020-077A,Dove 4e'-1,135,6
46820,2020-077H,Dove 4e’-2,135,6
46819,2020-077G,Dove 4e’-3,135,6
46821,2020-077J,Dove 4e’-4,135,6
46817,2020-077E,Dove 4e’-5,135,6
46822,2020-077K,Dove 4e’-6,135,6
46814,2020-077B,Dove 4e'-8,135,6
46816,2020-077D,Dove 4e’-8,135,6
46815,2020-077C,Dove 4e’-9,135,6
44814,2019-081L,Dove 4p-1,135,1
44808,2019-081E,Dove 4p-10,135,1
44809,2019-081F,Dove 4p-11,135,1
44812,2019-081J,Dove 4p-3,135,1
44811,2019-081H,Dove 4p-4,135,1
44818,2019-081Q,Dove 4p-5,135,1
44816,2019-081N,Dove 4p-7,135,1
47543,2021-006ED,Dove 4s-1,135,3
47523,2021-006DP,Dove 4s-10,135,3
47462,2021-006BB,Dove 4s-11,135,3
47471,2021-006BL,Dove 4s-12,135,3
47472,2021-006BM,Dove 4s-13,135,3
47528,2021-006DU,Dove 4s-14,135,3
47521,2021-006DM,Dove 4s-15,135,3
47516,2021-006DG,Dove 4s-16,135,3
47492,2021-006CH,Dove 4s-17,135,3
47496,2021-006CM,Dove 4s-18,135,3
47500,2021-006CR,Dove 4s-19,135,3
