124,Deimos Imaging / DMC International Imaging,Spain / United kingdom,Valladolid Castilla y Leon / 60 Priestley Rd Guildford Surrey GU2 7AG
125,Technical University Delft,Netherlands,Mekelweg 5 2628 CD Delft
126,Khalifa University,United Arab Emirates,Shakhbout Bin Sultan St - حدبة الزعفرانة - Zone 1 - Abu Dhabi - United Arab Emirates
127,Defense Advanced Research Projects Agency,United States of America, Condado de Arlington Virginia
128,Sky and Space Global,United Kingdom,London
129,SpacePharma,Switzerland,Courgenay
130,University of the Philippines Diliman / Hokkaido University / Tohoku University,Philippines / Japan,Roxas Ave Diliman Quezon City Metro Manila / Kita Ward Sapporo Hokkaido 060-0808 / Aoba Ward Sendai Miyagi 980-8577
131,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Linder Höhe 51147 Köln
132,Mohammend Bin Rashid Space Centre,United Arab Emirates,Al Khawaneej Area Uae Dubai
133,Department of Defense / National Oceanic and Atmospheric Administration,United States of America,Virginia / Washington D.C.
134,University of Southern California Space Engineering Research Center / Lockheed Martin,United States of America,4676 Admiralty Way Suite 1001 Marina del Rey CA 90292 / Bethesda Maryland
135,Planet Labs Inc.,United States of America,São Francisco California
136,China National Space Administration,China,Pequim
137,Kawasaki Heavy Industries,Japan, Minato Tokyo
138,German Orbital Systems,Germany,Reuchlinstraße 10-11 10553 Berlin
139,Emirates Institution for Advanced Science & Technology,United Arab Emirates,6FG8+94C - Al Khawaneej St - Al Khawaneej - Dubai - United Arab Emirates
140,Academy of Military Science,China,Beijing
141,Global Eagle Entertainment,United States of America,1821 E Dyer Rd Ste 125 Santa Ana CA 92705-5894
142,OHB Italia,Italy,Via Gallarate 150 20151 Milano MI
143,Echostar Satellite Services LLC,United States of America,Englewood Colorado
144,HughesNet leased from Echostar Technologies LLC,United States of America,Germantown Maryland
145,Equator Technological University,Ecuador,MPCM+57F Masaka Uganda
146,Airbus,Netherlands,Leiden
147,National Authority for Remote Sensing and Space Science,Egypt,23 Joseph Tito Street El-Nozha El-Gedida Cairo
148,Momentus,United States of America,California
149,Roshydromet - Planeta,Russia,630099 Novosibirsk Russia 30 Sovetskaya st.
150,University of California,United States of America,Berkeley California
151,Astroscale,Singapore,Astroscale Holdings Inc. 1-16-4 Kinshi Sumida-ku Tokyo 130-0013
152,Defence Research and Development Organization,India,DRDO HQ DRDO Bhawan Rajaji Marg New Delhi- 110 011
153,Unknown,Russia,Unknown
154,Goddard Space Flight Center / EOS Data and Operations System,United States of America,8800 Greenbelt Rd Greenbelt MD 20771 / 800 W. El Camino Real Suite 180 Mountain View CA 94040
155,Defense Ministry,Russia,Znamenka 19 Moscow
156,European Space Agency / European Maritime Safety Agency,European Space Station / Portugal,Paris France / Cais do Sodré 1249-206 Lisboa
157,European University Network,Multinational,Porto Portugal
158,Es’hailSat,Qatar,Doha
159,Ethiopian Space Science and Technology Institute,Ethiopia,3Q26+8G3 Addis Ababa
160,EUTELSAT Americas,United States of America,1776 I Street NW – Suite 810 Washington DC 20006
161,Defense Advanced Research Projects Agency,United States of America,Arlington Virginia
162,California Polytechnic Institute,United States of America,1 Grand Ave San Luis Obispo CA 93407
163,Russian Satellite Communications Company,Russia,3A bld.1 Nikoloyamskiy pereulok Moscow 109004
164,Exseed Space,India,ground floor Swati Building North Ave Santacruz West Mumbai Maharashtra 400054
165,Colombian Air Force,Colombia,Bogotá
166,InSpace,United Kingdom,Oriel Court Omega Park Alton GU34 2YT
167,Link Space Aerospace Technology,China,Beijing
168,China Meteorological Administration,China,Beijing
169,University of Stuttgart,Germany,Keplerstraße 7 70174 Stuttgart
170,US Navy,United States of America,Washington D.C.
171,National Space Organization,Taiwan,Hsinchu
172,Jihua Laboratory,China,No.28 Island Ring South Road Guicheng Street Nanhai District Foshan City Guangdong Province
173,Fossa Systems,Spain,C/ Gran Vía 59 Planta 9 28013 Madrid
174,Copernicus Land and Marine Environment services,European Space Station,Unknown
175,AMSAT-UK,Netherlands,Unknown
176,PanAmSat (Intelsat S.A.),United States of America,Greenwich Connecticut
177,Ministry of Land and Resources / Ministry of Environmental Protection / Ministry of Agriculture,China,Beijing
178,State Oceanic Administration,China,Beijing
179,Ministry of Natural Resources / Ministry of Housing and Urban-Rural Development / National Bureau of Statistics,China,Beijing
180,People's Liberation Army,China,Beijing
181,GomSpace ApS,Denmark,Ålborg
182,Bigelow Aerospace,United States of America,Las Vegas Nevada
183,DigitalGlobe Corporation,United States of America,Westminster Colorado
184,Korea Meteorological Administration / National Meteorological Satellite Center,South Korea,Dongjak-gu Seul
185,Institute of Space and Astronautical Science / NASA / European Space Agency,Multinational,Sagamihara Kanagawa Japan / 300 E St SW Washington DC 20546 / Paris France
186,Marshall Intec,United Arab Emirates,Dubai
187,GHGSat Inc.,Canada,3981 St-Laurent Montreal
188,Globalstar,United States of America,Covington Luisiana
189,Orbitale Hochtechnologie Bremen,Germany,Universitätsallee 27 28359 Bremen
190,PlanetiQ,United States of America,15000 W 6th Ave #202 Golden CO 80401
191,National Oceanographic and Atmospheric Administration,United States of America,Washington D.C.
192,Turkish Ministry of National Defense,Turkey,Bakanlıklar Ankara
193,Hong Kong Aerospace Technology Group,China,15/F DT Hub 5 Chun Cheong StreetTKO Industrial Estate NT HK
